Order,Activity,Condition,Who,Subprocess,Terminated
0,start,,,,
1,Collect Mail ,,Mail ,,
2,Sort Unopened Mail ,,Mail Clerk ,,
3,Distribute Mail ,,Mail ,,
4,Receive Mail ,,Mail ,,
5,Open ,,,,
6,Sort Groups ,,,,
7,Perform Quality Check ,,Registry Manager ,,
8a1,Compile List ,Mail is not compliant ,Mail ,,
8b1,goto 17,else,,,
9,Send List ,,,,
10,Capture Matter Details ,,Matter Details ,,
11,Provide Cashier ,,Matter Details ,,
12,Take Applicable Fees ,,Who ,,
13,Put Receipt ,,Assistant Registry Manager ,,
14,Copy Documents ,,Assistant Registry Manager ,,
15,Capture Party Details ,,Cashier ,,
16,Print Court File ,,Cashier ,,
17,,,,,yes
