Order,Activity,Condition,Who,Subprocess,Terminated
0,start,,,,
1,Start Notice ,,,,
2,Inquire Name ,,Secretarial Worker ,,
3,Put Doctor ,,Doctor ,,
4,Live That ,,Patient ,,
5,Record Information ,,Information ,,
6,Hand Form ,,Form ,,
7,Store Information ,,Information ,,
8,Print Information ,,Information ,,
9,Create Patient File ,,Patient File ,,
10,Store Registration Form ,,Registration Form ,,
11,Keep Patient Files ,,Patient Files ,,
12,Leave Building ,,Patient Files ,,
13,Produce Registration Cards ,,Registration Cards ,,
14,Contain Set ,,Registration Card ,,
15,Add New Patient ,,New Patient ,,
16,Consist Socialmedical Workers ,,Medical Team ,,
17,Assign New Patients ,,,,
18,Assign Patient ,,Patient ,,
19,Act First Intaker ,,Who ,,
20,Act Second Intaker ,,,,
21,Take Their Expertise ,,,,
22,Might Patient ,,,,
23,Record Assignments ,,,,
24,Hand ,,,,
25,Require New Assignment ,,,,
26a1,Add Information ,Medical File is required ,Medical File ,,
26b1,goto 51,else,,,
27,Pass Produced Registration Cards ,,,,
28,Keep Registration ,,,,
29,Require Medical File ,,Medical File ,,
30,Prepare Letter ,,Secretarial Office ,,
31,Send Letter ,,Secretarial Office ,,
32,Receive Copy ,,,,
33,Inform Second Intaker ,,Secretarial Office ,,
34,Add Copy ,,Secretarial Office ,,
35,Plan Meeting ,,,,
36,Examine Patient ,,Patient ,,
37,Fill ,,,,
38,Register Additional Observations ,,,,
39,Put Copy ,,,,
40,Add Standard Checklist ,,,,
41,Plan First Meeting ,,,,
42,Use Physicians ,,Physicians ,,
43,Type Tapes ,,Secretarial Office ,,
44,Add Information ,,Information ,,
45,Take Place ,,Meetings ,,
46,Put Patient ,,Secretarial Office ,,
47,Reach Status ,,,,
48,Provide Teamleader ,,,,
49,Formulate Treatment Plan ,,,,
50,End Intake Procedure ,,Treatment Plan ,,
51,,,,,yes
