Order,Activity,Condition,Who,Subprocess,Terminated
0,start,,,,
1,Start Process ,,,,
2,Submit Supply Request ,,Employee ,,
3,Register Requirement ,,,,
4,Receive Request ,,,,
5,Approve Change ,,Supervisor ,,
6,Ask Change ,,Supervisor ,,
7a1,End Process ,Request is rejected ,,,
7b1,Return ,Request is asked ,,,
8,Review Comments ,,Who ,,
9a1,Approve Purchase Department ,Request is approved ,,,
9b1,goto 23,else,,,
10,Will Charge ,,,,
11,Use Subprocess ,,,,
12,Select Vendor ,,,,
13a1,Will Purchase Department ,Vendor is not valid system ,Vendor ,,
13b1,goto 23,else,,,
14,Select Vendor ,,Vendor ,,
15,Confirm Vendor ,,Vendor ,,
16,Generate Purchase Order ,,System ,,
17,Send Purchase Order ,,System ,,
18,Deliver Product ,,Product ,,
19,Receive Invoice ,,,,
20,Send Notification ,,System ,,
21,Require Any ,,,,
22,Send Notification ,,System ,,
23,,,,,yes
