Order,Activity,Condition,Who,Subprocess,Terminated
0,start,,,,
1,Back Database ,,,,
2,Check ,,,,
3,Check Database ,,,,
4a1,Found New Records ,Table has new records ,Table ,,
4b1,goto 13,else,,,
5,Check Crm System ,,,,
6a1,Advise Defaulting Client Codes ,New Returns exist ,,,
6b1,goto 13,else,,,
7,Complete All ,,,,
8a1,Send Alert ,It is not ,,,
8b1,goto 13,else,,,
9,Complete New Defaulting Account Report ,,,,
10a1,File New Returns ,New Returns have been filed ,,,
10b1,goto 13,else,,,
11,Complete This ,,,,
12,Send Supervisor ,,Supervisor ,,
13,,,,,yes
