Order,Activity,Condition,Who,Subprocess,Terminated
0,start,,,,
1,Purchase Product ,,Employee ,,
2,Require ,,,,
3,Rent Car ,,Sales Person ,,
4,Submit Expense Report ,,Employee ,,
5,Review Expense Report ,,Supervisor ,,
6,Reject Report ,,Supervisor ,,
7,Accept Report ,,Supervisor ,,
8,Reject Report ,,Supervisor ,,
9,Automate Rules ,,,,
10a1,Submit It ,Supervisor rejects report ,Supervisor ,,
10b1,goto 22,else,,,
11,Give Employee ,,Employee ,,
12a1,Approve Treasurer ,Supervisor approves report ,Supervisor ,,
12b1,goto 22,else,,,
13,Check Treasurer ,,Treasurer ,,
14,Submit Receipts ,,,,
15,Match Items ,,,,
16a1,Accept Expenses ,All is order ,,,
16b1,Send It ,Receipts are missing ,,,
16c1,Return Supervisor ,Report returns employee ,,,
16d1,Accept Expenses ,Supervisor approved report ,Supervisor ,,
17,Move Automatic Activity ,,,,
18,Link Payment System ,,,,
19,Wait Payment Confirmation ,,,,
20,Confirm Payment ,,,,
21,End Process ,,,,
22,,,,,yes
