Order,Activity,Condition,Who,Subprocess,Terminated
0,start,,,,
1,Perceive Beginning ,,Customer ,,
2,Degrade Her Subscribed Service ,,Her Subscribed Service ,,
3,Send List ,,,,
4,Enter Problem Report ,,Employee ,,
5,Compare Problem Report ,,,,
6,Determine Necessary Counter Measures ,,,,
7,Determine Significance ,,Electronic Service ,,
8,Collect ,,,,
9,Link Extra Fix Process ,,,,
10,Detail Process ,,,,
11,Affect Case ,,Customer ,,
12,Affect Counter Measures ,,,,
13,Continue Measures ,,,,
14,Continue Process ,,,,
15,Data Prioritized Actions ,,,,
16,Create Detailed Problem Report ,,,,
17,Send Detailed Problem Report ,,,,
18,Provide ,,,,
19,Investigate Service Management ,,Service Management ,,
20a1,Locate Problem ,Problem is analyzable level ,,,
20b1,goto 73,else,,,
21,Locate Resource Provisioning ,,,,
22,Assess Problem ,,Case ,,
23,Send Detailed Problem Report ,,,,
24a1,Analyze It ,Service Management is sure ,Service Management ,,
24b1,goto 73,else,,,
25,Perform Analysis ,,,,
26,Create Trouble Report ,,,,
27,Indicate Type ,,,,
28,Receive Detailed Problem Report ,,Resource Provisioning ,,
29,Check ,,,,
30a1,Create Notification ,Problems are detected ,,,
30b1,Analyze This ,Problem is detected ,,,
31,Create Trouble Report ,,,,
32,Include Trouble Report ,,,,
33,Send Trouble Report ,,,,
34,Prepare Final Status Report ,,Service Management ,,
35,Determine ,,,,
36,Take Counter Measures ,,,,
37,Take Alternative Process Paths ,,,,
38,Detect Problem ,,,,
39,Send Actual Service Performance ,,,,
40,Require Minor Corrective Actions ,,,,
41,Undertake Corrective Actions ,,Service Management ,,
42,Create Resolution Report ,,,,
43,Send Resolution Report ,,,,
44,End Process Path ,,,,
45,Require Automatic Resource Restoration ,,,,
46,Create Request ,,Service Management ,,
47,Send Message ,,,,
48,Onhold Resource Provisioning ,,Resource Provisioning ,,
49,Wait Restoration Request ,,Resource Provisioning ,,
50,Happen Days ,,,,
51,Send Status Report ,,,,
52,Terminate Process ,,Resource Provisioning ,,
53,Receive Restoration Request ,,,,
54,Track Possible Errors ,,,,
55,Undertake Necessary Corrective Actions ,,,,
56,Create Troubleshooting Report ,,,,
57,Send Report ,,,,
58,End Process ,,,,
59,Receive Troubleshooting Report ,,,,
60,Describe Creation ,,Information ,,
61,Receive Actual Service Performance ,,Customer Service ,,
62,Trigger Concurrent Activities ,,,,
63,Create Report ,,,,
64,Create Customer ,,,,
65,Detail Current Service Performance ,,,,
66,Report Sla Violation Rebate ,,,,
67,Report Billing ,,,,
68,Adjust Billing ,,Who ,,
69,Send Report ,,,,
70,Complete Activities ,,,,
71,End Customer Service ,,,,
72,Receive Report ,,Customer ,,
73,,,,,yes
